Palabra,Frecuencia
¿cómo,65
andar,65
oír,65
sangre,65
hemos,65
antonio,65
esperar,65
pan,64
criados,64
señal,64
hidalgo,64
tenido,64
culpa,64
lanza,64
llamaba,64
amigos,64
querer,64
escuderos,64
grandeza,63
edad,63
par,63
maese,63
ansí,63
dije,63
noticia,63
verde,63
discurso,63
encantadores,62
enemigo,62
hijos,62
dormir,62
sucesos,61
daño,61
azotes,61
consigo,61
obra,61
compañía,61
queda,61
sola,61
oyendo,60
temor,60
diese,60
carrasco,60
ningún,60
haciendo,60
tuviese,60
renegado,60
altisidora,60
dolor,60
cuyo,59
resolución,59
paz,59
hambre,59
dineros,59
hubiese,59
provecho,59
diez,59
ahí,58
vieron,58
sobrina,58
diga,58
mirar,58
vea,58
media,58
principal,58
oídos,58
mar,58
quedaron,58
obras,58
acabó,58
presente,58
tienes,57
estuvo,57
pastor,57
vi,57
libre,57
enamorado,57
dijese,57
llama,57
pasaba,57
ante,57
nueva,57
hallado,57
valiente,57
esposo,57
encantado,56
caer,56
venga,56
necesidad,56
principio,56
oficio,56
reina,56
lado,56
consejo,56
licenciado,56
veo,56
hallar,56
poeta,56
quitar,55
reales,55
encima,55
dueñas,55
princesa,55
destos,55
suelen,55
sois,55
responder,55
aldea,55
plática,54
darle,54
vencido,54
letras,54
lleno,54
aire,54
esperando,54
llamar,54
mirando,54
lejos,54
alta,54
acaso,54
veinte,54
discreción,54
dentro,53
carro,53
hacienda,53
doy,53
prosiguió,53
oyó,53
blanca,53
fuego,53
dejando,53
ejercicio,53
destas,53
servir,53
cuidado,53
miedo,53
versos,52
contar,52
diciéndole,52
daré,52
roque,52
risa,52
acuerdo,52
quieres,52
asimismo,52
iban,52
acabar,52
mujeres,52
verdadera,52
gigante,52
voy,51
montesinos,51
poca,51
servido,51
habrá,51
sucedido,51
segunda,51
llegando,51
negocio,51
sepa,51
burla,51
basilio,51
esposa,51
contó,51
presencia,51
señoras,50
presentes,50
verdadero,50
moros,50
sacar,50
historias,50
supo,50
fuerzas,49
dan,49
escrito,49
trae,49
sacó,49
acá,49
deben,49
ruido,49
claro,49
decís,49
dejado,49
bondad,49
pesar,49
huésped,49
enemigos,49
puesta,49
efecto,49
blanco,48
paje,48
nuestras,48
dónde,48
personas,48
especialmente,48
moro,48
conocido,48
andaba,48
pusieron,48
salud,48
vestidos,48
término,48
diré,48
respuesta,48
disparates,48
van,48
verdaderamente,48
pidió,47
real,47
vuelto,47
aquél,47
pocos,47
cinco,47
emperador,47
toca,47
dices,47
cólera,47
hacia,47
perder,47
género,47
propósito,47
entiendo,46
santa,46
cortesía,46
primo,46
muestra,46
venido,46
efeto,46
justicia,46
cueva,46
fueran,46
cabrero,46
quieren,46
llegado,46
todavía,46
pesadumbre,46
esas,46
cargo,46
año,46
cabellos,46
imaginación,46
darme,46
esté,46
conocer,45
pudiese,45
sueño,45
viento,45
tarde,45
árboles,45
estremo,45
peor,45
sabio,45
general,45
escudos,45
instante,45
esperanza,45
sabes,45
horas,45
mesa,45
albarda,45
dueño,45
anda,44
tuvieron,44
opinión,44
ingenio,44
honestidad,44
hechos,44
belleza,44
guerra,44
capitán,44
arriba,44
vivo,44
llevaba,44
amores,44
gloria,44
fuesen,44
corte,44
subir,43
buscando,43
cautivo,43
vamos,43
diego,43
favor,43
quedar,43
amadís,43
venganza,42
imposible,42
largo,42
mejores,42
tiempos,42
doce,42
alto,42
linaje,42
llamado,42
leonela,42
clara,42
fuerte,42
rodríguez,42
oyeron,42
mono,42
éstos,42
basta,42
jardín,42
contado,42
pastores,41
alcanzar,41
llevó,41
pedir,41
traje,41
señas,41
tornó,41
vuestros,41
viaje,41
escribir,41
verá,41
agravio,41
vaya,41
armado,41
mías,41
abajo,41
primer,41
siglos,41
lleva,40
pasaron,40
cama,40
hallaron,40
verse,40
hiciese,40
amistad,40
oidor,40
costumbre,40
duques,40
quiteria,40
malos,40
esos,40
veras,40
alzó,40
seguro,40
leguas,39
podían,39
di,39
rodillas,39
vienen,39
desdichado,39
contrario,39
admiración,39
míos,39
leyes,39
pide,39
cuál,39
señales,39
dama,39
conciencia,39
dientes,39
levantó,38
canónigo,38
paciencia,38
díjole,38
hará,38
alegre,38
trata,38
papel,38
caminos,38
luis,38
volvieron,38
diligencia,38
barba,38
dime,38
viejo,38
cide,38
dinero,38
deja,38
yelmo,38
donaire,38
salido,38
perlas,38
parar,38
hamete,37
mirad,37
luna,37
juntos,37
correr,37
grado,37
uso,37
gentil,37
sala,37
hacían,37
mayordomo,37
viese,37
conozco,37
justo,37
mire,37
cualquiera,37
discreta,37
entrambos,37
molido,37
caído,37
mostraba,37
palos,36
morir,36
vivir,36
viniese,36
baja,36
sepultura,36
hecha,36
haría,36
reyes,36
desto,36
labradora,36
grandísimo,36
mentira,36
¿por,36
galeras,36
experiencia,36
tuviera,36
echar,36
pasos,36
iglesia,36
obligado,36
gentes,36
ricote,35
profesión,35
trabajos,35
guardar,35
celada,35
encantador,35
entrañas,35
decían,35
presteza,35
pasados,35
fui,35
tenemos,35
cumplir,35
dígame,35
imagino,35
quedaba,35
creyendo,35
soldado,35
locuras,35
ausencia,35
título,35
pedazos,35
lecho,34
parecen,34
acudió,34
cristiana,34
cien,34
sale,34
punta,34
entraron,34
pagar,34
coche,34
camacho,34
facilidad,34
ocho,34
moza,34
dellas,34
llevado,34
querido,34
industria,34
asimesmo,34
vale,33
segundo,33
hice,33
juro,33
decirse,33
dolorida,33
costa,33
hacerse,33
estamos,33
calle,33
encantamento,33
cuello,33
dicha,33
deseaba,33
engaño,33
serlo,33
jaula,33
leones,33
solos,33
número,33
dejaba,33
refranes,33
barca,33
carne,32
éstas,32
alforjas,32
seguir,32
pláticas,32
llevaban,32
cualquier,32
recebir,32
principales,32
esperaba,32
ponerse,32
diera,32
ancas,32
juan,32
ayuda,32
daban,32
revés,32
burlas,32
andado,32
damas,32
mancebo,32
recibió,32
bacía,32
riendas,32
temeroso,32
admirado,32
hablando,32
somos,32
naturaleza,32
merece,32
podré,32
viéndose,32
respeto,31
dejaron,31
llegaba,31
quisiese,31
rogó,31
salieron,31
quedo,31
¿es,31
doctor,31
ventana,31
valentía,31
volviéndose,31
maritornes,31
caminar,31
puedes,31
ganado,31
dejase,31
sierra,31
derecho,31
siquiera,31
cruel,31
vuelta,31
verle,31
estás,31
conoció,31
francia,31
golpe,31
deje,31
pone,31
condesa,31
san,31
gigantes,31
suspiros,31
debió,31
echó,31
volviese,30
descubierto,30
verdaderas,30
ventera,30
tuve,30
tomado,30
prometido,30
sobresalto,30
puestos,30
llorar,30
lorenzo,30
mandado,30
hábito,30
momento,30
forzoso,30
quitó,30
encantada,30
gracia,30
harto,30
hallo,30
sosiego,30
diferentes,30
vosotros,30
acometer,30
letra,30
solas,30
majestad,30
haberle,30
sombra,30
crédito,30
soldados,30
queréis,30
príncipes,30
determinación,29
acudir,29
acabado,29
decirle,29
puertas,29
verás,29
muchacho,29
parecido,29
particular,29
determinado,29
espejos,29
enojo,29
hacerle,29
comenzaron,29
villano,29
mesmos,29
levantar,29
¡ay,29
pensó,29
vizcaíno,29
malas,29
mula,29
hombros,29
solamente,29
términos,29
mostró,29
casas,29
mulas,29
volviendo,29
usar,28
artificio,28
secreto,28
ánima,28
debo,28
compadre,28
grisóstomo,28
hablado,28
hallé,28
ínsulas,28
pensativo,28
quisieres,28
narices,28
promesas,28
sano,28
nacido,28
suspenso,28
treinta,28
rostros,28
tampoco,28
vuelve,28
derecha,28
cuyas,28
calidad,28
admirados,28
malo,28
pequeño,28
nuevos,28
partida,28
confuso,28
señoría,28
quiera,28
pareciéndole,28
negro,28
suplico,28
firme,28
estraño,28
famosos,28
trifaldi,28
retablo,28
salida,28
escudo,27
ponga,27
excelencia,27
hallaba,27
dirá,27
infierno,27
andaban,27
último,27
marcela,27
guarda,27
color,27
cuerdo,27
tratar,27
tío,27
imaginar,27
infanta,27
lugares,27
despecho,27
determinó,27
pedía,27
tosilos,27
estómago,27
acerca,27
cuentan,27
servicio,27
carnes,27
conviene,27
ofreció,27
pasada,27
plaza,27
aliento,27
hiciera,27
barco,27
ladrón,27
empresa,27
cartas,27
aguas,27
pendencia,27
traído,27
estuviese,27
nombres,27
respondía,27
siete,27
gobernar,26
altas,26
médico,26
traza,26
traían,26
traer,26
hacerme,26
altos,26
subió,26
ordenó,26
busca,26
atrevido,26
viéndole,26
dulce,26
ricos,26
esperanzas,26
mover,26
valientes,26
merlín,26
tonto,26
desa,26
tercera,26
fácil,26
agradable,26
malicia,26
ley,26
yendo,26
llevan,26
estraña,26
piernas,26
pequeña,26
desnudo,26
estudiante,26
poetas,26
asió,26
semejante,26
matar,26
diablos,26
pasa,25
quitado,25
lacayo,25
quedan,25
legua,25
gracioso,25
puro,25
limpio,25
turcos,25
necesario,25
añadió,25
mes,25
tendré,25
abrió,25
aquélla,25
piedra,25
cuantas,25
miró,25
desventura,25
reinos,25
espero,25
honesta,25
hermoso,25
amiga,25
jurar,25
pobres,25
tendido,25
den,25
caída,25
pecado,25
verme,25
árbol,25
maestresala,25
caña,25
pocas,25
comodidad,25
irse,25
toma,25
cierta,25
recebido,25
gaula,25
bajel,25
sentido,25
castellano,25
entrado,25
tomando,25
furia,25
duro,25
alcanza,24
veía,24
ayer,24
encantados,24
llega,24
ligereza,24
caza,24
ejemplo,24
llegándose,24
satisfecho,24
paño,24
viva,24
estancia,24
traigo,24
dijeron,24
echado,24
sintió,24
desgracias,24
aviso,24
digna,24
pechos,24
gobernadores,24
ponía,24
juramento,24
apriesa,24
tomé,24
alabanzas,24
mostrar,24
quince,24
además,24
volvía,24
infinitos,24
discretos,24
breves,24
vecino,24
compañeros,24
larga,24
aparte,24
quise,24
preguntar,24
entrada,24
trecho,24
vuelva,24
honrada,24
rigor,24
sentado,24
manda,24
caballos,24
gregorio,24
mentecato,24
cantidad,23
juntamente,23
pobreza,23
conforme,23
usan,23
perdido,23
arremetió,23
blancas,23
prosigue,23
importa,23
teniendo,23
importancia,23
sitio,23
corral,23
cuadrilleros,23
convenía,23
cielos,23
desencanto,23
propio,23
acertado,23
recio,23
haz,23
vinieron,23
celos,23
ido,23
ponerme,23
vergüenza,23
talante,23
entendió,23
parecían,23
patria,23
arte,23
simple,23
saliese,23
golpes,23
venida,23
habido,23
romance,23
visorrey,23
intento,23
penitencia,23
carga,23
atención,23
impertinente,23
hízolo,23
liberal,23
dejé,23
fecho,23
león,22
tocar,22
acaba,22
yerbas,22
haberse,22
miraba,22
corona,22
conde,22
puestas,22
famosa,22
salvo,22
suyos,22
roldán,22
vela,22
ordinario,22
refrán,22
ejecución,22
talle,22
sacado,22
riquezas,22
bastante,22
dura,22
llamó,22
meses,22
consejos,22
llegue,22
piensa,22
vive,22
desenvoltura,22
invención,22
detrás,22
alegría,22
faltar,22
traidor,22
roto,22
lenguas,22
¿adónde,22
pusiese,22
vee,22
diversas,22
milagro,22
prado,22
vestida,22
pude,22
tenéis,22
llevo,22
cabras,22
mostrado,22
muerta,22
serán,22
papeles,22
cayó,22
conocimiento,22
vencimiento,22
demonio,21
misericordia,21
atrevimiento,21
poesía,21
paréceme,21
descuido,21
debían,21
escuchando,21
mora,21
perjuicio,21
suspensos,21
halla,21
figuras,21
adónde,21
desdichada,21
honrado,21
escritos,21
temerosa,21
dijera,21
galeotes,21
bellaco,21
sanchica,21
pregunta,21
ofrecimientos,21
acabe,21
atento,21
diferencia,21
hermandad,21
soneto,21
pecador,21
sentimiento,21
prueba,21
ponerle,21
calles,21
labios,21
lástima,21
habla,21
liberalidad,21
rica,21
humilde,21
tome,21
peso,21
dándole,21
soledad,21
sabían,21
vas,21
zaragoza,21
temiendo,21
daga,21
cola,21
justas,21
pagado,21
llena,21
menor,21
ven,21
trigo,21
vendrá,21
hechas,21
jaez,21
monte,21
nací,21
música,21
grave,21
pelo,21
dará,21
viniere,20
mientras,20
quedado,20
río,20
batallas,20
vimos,20
movido,20
debes,20
ignorante,20
máquina,20
contigo,20
guía,20
mozos,20
poderoso,20
brevedad,20
duerme,20
escribió,20
confusión,20
cubierto,20
acudieron,20
suyas,20
estilo,20
encierra,20
suceder,20
estrellas,20
persiguen,20
hierro,20
trecientos,20
campos,20
descubrió,20
entiende,20
ciencia,20
patio,20
defensa,20
segura,20
caballeriza,20
mandar,20
sujeto,20
puerto,20
andan,20
miraban,20
lienzo,20
comedia,20
estuviera,20
montaña,20
verla,20
arriero,20
maravillas,20
ropa,20
felice,20
recato,20
diesen,20
quedará,20
comido,20
argel,20
maravilla,20
flor,20
costillas,20
ruego,20
dedo,20
hayan,20
faltaba,20
bronce,20
daría,20
pintado,20
enamorados,20
pastora,20
arrojó,20
álvaro,19
pudiere,19
llenas,19
miserable,19
primeros,19
estrecheza,19
defender,19
humor,19
mirado,19
espadas,19
estáis,19
espanto,19
compañero,19
hubieran,19
despertó,19
adarga,19
paga,19
desmayada,19
peligros,19
bendición,19
vais,19
fee,19
carrera,19
canto,19
andrés,19
muelas,19
sevilla,19
hermanos,19
vengo,19
camisa,19
montañas,19
secretario,19
vencedor,19
cara,19
pudieran,19
circunstantes,19
desventuras,19
discretas,19
bestias,19
prudente,19
sufrir,19
menudo,19
tuyo,19
llano,19
trance,19
peña,19
nación,19
virtudes,19
calla,19
ojo,19
digas,19
melisendra,19
fortaleza,19
do,19
ceremonias,19
claudia,19
corta,19
preguntóle,19
verdaderos,19
sabré,19
durmiendo,19
quede,19
humana,19
dejan,19
casado,19
yerba,19
tocaba,19
bella,19
entendido,19
acciones,19
dedos,19
responde,19
engañado,19
cortés,19
testamento,18
rayos,18
piedras,18
prudencia,18
común,18
cueros,18
honesto,18
despojos,18
docientos,18
veas,18
leandra,18
gallardo,18
tengan,18
ruegos,18
clavileño,18
saque,18
turco,18
persuadir,18
aires,18
bálsamo,18
cuerpos,18
hilo,18
casos,18
profundo,18
lanzón,18
levantándose,18
roma,18
salario,18
frío,18
queso,18
campaña,18
atado,18
veis,18
¿y,18
morena,18
espíritu,18
usa,18
comida,18
alegres,18
querían,18
bajo,18
freno,18
herida,18
bienes,18
redonda,18
llegóse,18
pensado,18
imaginaba,18
ducados,18
¡ah,18
manteles,18
humano,18
interés,18
breve,18
blanda,18
plata,18
sirva,18
cautivos,18
probar,18
gozar,18
»en,18
improviso,18
aquéllos,18
canta,18
posesión,18
corre,18
proseguir,18
necedades,18
entra,18
escuadrón,18
nicolás,18
huir,18
benengeli,18
podéis,18
desdichas,18
malambruno,18
parientes,18
servicios,18
premio,18
escondido,18
prometida,18
carreta,18
huesos,18
sabido,18
prometió,18
corría,18
contenta,18
cadena,17
desmayo,17
siguiente,17
saben,17
estruendo,17
ése,17
compasión,17
castigo,17
espejo,17
llevaron,17
remo,17
pecados,17
precio,17
parecerle,17
sentencias,17
entera,17
poniendo,17
llamada,17
malandrines,17
olvido,17
berbería,17
ginés,17
infinitas,17
fuente,17
oí,17
huyendo,17
justa,17
diere,17
garganta,17
levantaron,17
amantes,17
seas,17
perro,17
flores,17
seda,17
tesoro,17
vía,17
agravios,17
ora,17
usanza,17
terrible,17
¡válame,17
ofrecía,17
mandamiento,17
promesa,17
menesterosos,17
comenzado,17
pasase,17
llegase,17
reposo,17
heridas,17
sentidos,17
mortal,17
detuvo,17
encantamentos,17
discursos,17
quedase,17
supiese,17
estuvieron,17
vicente,17
puntualidad,17
antigua,17
recado,17
veréis,17
sospecha,17
come,17
¡no,17
palo,17
continente,17
hallarse,17
procura,17
encina,17
llenos,17
acabada,17
arzobispo,17
descubrieron,17
abundancia,17
seguridad,17
mármol,17
prometo,17
sed,17
solía,17
vuelvo,17
cabreros,17
consideración,17
bueyes,17
casar,17
desear,17
vulgo,17
tendría,17
perdón,17
sosegado,16
respondido,16
respondiese,16
adorno,16
ansimesmo,16
iguales,16
entero,16
salí,16
rato,16
estacas,16
pasaban,16
bodas,16
curioso,16
hablaba,16
labradores,16
pondré,16
soga,16
atentamente,16
espuelas,16
creyó,16
apostaré,16
darte,16
ajena,16
envía,16
ambrosio,16
habló,16
abrazó,16
cuántas,16
llevando,16
quisieren,16
dígolo,16
verdades,16
quejas,16
acordó,16
pudieron,16
dondequiera,16
salga,16
novela,16
escribano,16
comedias,16
sabrá,16
gaiferos,16
confieso,16
placer,16
deso,16
conocía,16
enfermedad,16
beber,16
pase,16
demasiadamente,16
envidia,16
cantar,16
contando,16
consintió,16
enamorada,16
muchachos,16
vivía,16
paredes,16
deshora,16
ingenioso,16
alas,16
disparate,16
volverse,16
parezca,16
habrán,16
tristeza,16
costumbres,16
falto,16
cuesta,16
ganar,16
dijere,16
maleta,16
atrás,16
ciento,16
molde,16
ejercicios,16
naturales,16
ventaja,16
rocín,16
ana,16
marién,16
entrambas,16
micomicona,16
dejaré,16
hubiere,16
temer,16
contentos,16
colores,16
rogar,16
subieron,16
fermosa,16
quienquiera,16
favorecer,16
verano,16
podido,16
siguió,16
regalo,16
mandaba,16
cena,16
joyas,16
antiguos,16
concierto,16
tiento,16
gato,15
sustentar,15
falte,15
libres,15
mentir,15
púsose,15
piden,15
propuso,15
estima,15
límites,15
tuya,15
confesar,15
sirve,15
seré,15
escuchaba,15
ingrata,15
dejará,15
amparo,15
levantado,15
quisiéredes,15
sigue,15
dello,15
príncipe,15
pensando,15
curiosidad,15
rescate,15
viesen,15
alabanza,15
escrúpulo,15
mambrino,15
imagen,15
gentileza,15
félix,15
cuchilladas,15
cae,15
digan,15
compuesto,15
traen,15
sabiendo,15
negros,15
simplicidad,15
dádivas,15
vasallos,15
pluma,15
pedido,15
escribe,15
serían,15
vuesas,15
bellotas,15
humildad,15
huéspedes,15
leonero,15
males,15
mirase,15
ausente,15
marqués,15
salamanca,15
sirven,15
habilidad,15
barcelona,15
cuándo,15
pago,15
noches,15
ajenas,15
dejasen,15
penas,15
virrey,15
santos,15
cabestro,15
vano,15
reír,15
sabéis,15
murió,15
jornada,15
vivos,15
condado,15
deshonra,15
vitoria,15
sacaron,15
trato,15
cincuenta,15
descubrir,15
entretenimiento,15
hermosas,15
puntas,15
cuadrillero,15
buscarle,15
pido,15
orbe,15
toque,15
fermosura,15
quédese,15
entré,15
prendas,15
alteza,15
vuelven,15
cerrada,15
azote,15
asiéndole,15
diole,15
negra,15
brío,15
grandezas,15
llegan,15
miguel,15
seiscientos,15
bolsa,15
palacios,15
castigar,15
consuelo,15
satisfación,15
entrando,15
seco,15
principalmente,15
mentiras,15
igual,15
saltó,15
montes,15
perdición,15
viven,15
siguieron,14
pendencias,14
enfermo,14
acomodó,14
cecial,14
pudiesen,14
oía,14
partió,14
pelear,14
cenar,14
sentencia,14
sentir,14
limpia,14
trujo,14
llamo,14
procuraba,14
olvidado,14
docena,14
palma,14
zapatos,14
muera,14
guarde,14
pares,14
puñadas,14
medias,14
ahínco,14
contiene,14
santo,14
alzando,14
báculo,14
encanto,14
animal,14
manta,14
testigo,14
músico,14
pieza,14
cruz,14
quedaré,14
pasamonte,14
república,14
advierta,14
blando,14
cabra,14
error,14
ciertos,14
»no,14
tristes,14
¿de,14
izquierdo,14
almas,14
dejo,14
testigos,14
lana,14
juez,14
dejaban,14
milagros,14
castellana,14
mata,14
asiento,14
harán,14
apartó,14
tuertos,14
antiguo,14
sima,14
cobrar,14
veen,14
estrella,14
varón,14
lela,14
saco,14
faldas,14
maestro,14
reja,14
rienda,14
afrenta,14
valle,14
fiestas,14
tomase,14
negar,14
digno,14
pasadas,14
viniesen,14
decirte,14
añadidura,14
muchacha,14
conocidos,14
tuviere,14
seno,14
parió,14
riqueza,14
frente,14
referido,14
¿dónde,14
hojas,14
apearse,14
paraba,14
dalle,14
ovejas,14
dese,14
madrid,14
contornos,14
palacio,14
canalla,14
voto,14
razonable,14
prisión,14
cerrar,14
olor,14
pierna,14
caminante,14
puntos,14
arroyo,14
leyó,14
iré,14
ésa,14
corrido,14
procesión,14
hagan,14
ligero,14
mismos,14
niñerías,14
fiesta,14
lleve,14
vara,14
hallará,14
cobarde,14
juzgar,14
acertó,13
compuso,13
halle,13
¡qué,13
desesperado,13
verdes,13
remos,13
decirme,13
echando,13
maldiciones,13
público,13
estimar,13
suspiro,13
anoche,13
miembros,13
escusar,13
habemos,13
sacando,13
corriendo,13
niña,13
valer,13
gravedad,13
gritos,13
acomodado,13
criadas,13
dejemos,13
sesenta,13
leyese,13
podrán,13
preguntado,13
región,13
frailes,13
condiciones,13
abierto,13
claridad,13
cuántos,13
bajó,13
principios,13
luengos,13
instrumentos,13
pidiese,13
ollas,13
quisieron,13
salía,13
entretener,13
cansado,13
añadir,13
quedé,13
atónito,13
sentía,13
grandísima,13
respondí,13
católico,13
ligera,13
puse,13
alcornoque,13
remediar,13
corales,13
buscaba,13
pro,13
anduvo,13
averiguar,13
visera,13
socarrón,13
corto,13
calor,13
cima,13
fatiga,13
mando,13
decoro,13
cumplido,13
lanzas,13
manifiesto,13
quedara,13
vidas,13
claras,13
jueces,13
conocida,13
entereza,13
escuchar,13
falsa,13
gabán,13
autoridad,13
conversación,13
coces,13
considerando,13
propia,13
fantasmas,13
fuentes,13
maravedís,13
hueso,13
hueco,13
llevase,13
cárcel,13
déjeme,13
venideros,13
capellán,13
imitar,13
amante,13
amenazas,13
llamando,13
movió,13
norte,13
simples,13
acabando,13
estará,13
